entropy,rank
3.0,0
3.0,1.7478680975
3.0,0
3.0,1.9792045174
3.0,0
3.0,2.46707856
2.0,0
3.0,0
3.0,0
3.0,1.560710409
3.0,
3.0,2.46707856
3.0,1.0397207708
3.0,0.5004024235
3.0,0
3.0,
2.0,0
3.0,0
3.0,1.7478680975
3.0,0
3.0,1.9792045174
3.0,0
3.0,2.46707856
2.0,0
3.0,0
