entropy,rank
3.0,2.3974572448
3.0,0
3.0,1.17105987
3.0,0
3.0,0
3.0,
2.0,0.6931471806
2.0,1.3517839943
3.0,
3.0,0
3.0,0
3.0,0
3.0,0.4929931541
3.0,0
