entropy,rank
2.0,1.5571130981
2.0,1.9459101491
2.0,0
2.0,0.6885673693
3.0,0.6931471806
3.0,0.6931471806
2.0,0.5623351446
2.0,0.2337916587
3.0,0
3.0,0
3.0,0
3.0,
2.0,0.6365141683
2.0,0
3.0,0.6365141683
