	qid_	label_	f0	f1	f2	f3	f4
1.8	16	1.0	1.0	1.0	0.0	-0	3.605474472
1.0	16	1.0	2.0	0.0	0.0	0.0	2.8378012180000001
1.2	16	1.0	1.0	0.0	0.0	0.0	3.605474472
1.2	16	1.0	1.0	0.0	0.0	-0	3.605474472
1.2	16	1.0	1.0	0.0	0.0	-0	3.605474472
1.8	16	1.0	1.0	0.0	0.0	1.7917594692280547	2.4323375225000001
2.2	16	1.0	1.0	0.0	0.0	-0	2.2534217833999999
2.6	17	1.0	5.0	1.0	0.0	1.0735428464085233	0.97472077609999996
2.8	17	1.0	3.0	1.0	1.0	-0	1.3618357182
2.4	17	1.0	2.0	1.0	1.0	-0	0.72323155400000005
2.2	17	1.0	1.0	1.0	1.0	0.0	1.6049389838999999
2.8	17	1.0	2.0	0.0	1.0	2.0582239041311672	1.3543586730999999
2.2	17	1.0	1.0	1.0	1.0	0.69314718055994529	0.8904818296
1.4	17	1.0	1.0	1.0	0.0	-0	4.1874032020999996
1.4	17	1.0	1.0	1.0	0.0	0.69314718055994529	2.7236714363000001
3.0	17	1.0	1.0	0.0	1.0	-0	2.5679023266000001
2.8	17	1.0	1.0	0.0	1.0	-0	2.2469143866999999
2.0	18	1.0	4.0	1.0	1.0	-0	2.9802513123000001
3.0	18	1.0	4.0	1.0	0.0	-0	1.1956112385
1.8	18	1.0	4.0	0.0	1.0	3.0008004527068852	0.85031062359999998
2.4	18	1.0	3.0	0.0	1.0	2.3046193848206715	0.74336636069999995
1.8	18	1.0	2.0	1.0	0.0	-0	2.7568161488
2.2	18	1.0	2.0	0.0	1.0	0.95569989111253428	1.9532744884
3.0	18	1.0	1.0	1.0	1.0	0.69314718055994529	1.9493633508999999
1.4	18	1.0	2.0	1.0	0.0	-0	1.144890666
1.0	18	1.0	2.0	1.0	0.0	-0	0.50834101440000001
1.4	18	1.0	2.0	1.0	0.0	-0	0.39204907420000001
2.4	19	1.0	1.0	1.0	1.0	-0	2.6593720912999999
3.0	19	1.0	1.0	1.0	0.0	-0	2.6593720912999999
1.4	19	1.0	1.0	1.0	0.0	0.69314718055994529	1.8585207462
1.16	19	1.0	1.0	1.0	0.0	-0	1.5272910595
1.0	19	1.0	1.0	1.0	0.0	-0	1.4298069476999999
2.2	19	1.0	1.0	1.0	0.0	-0	1.3296860455999999
1.0	19	1.0	1.0	1.0	0.0	-0	0.40161758660000002
1.4	19	1.0	1.0	0.0	0.0	-0	3.3242149353000001
1.8	19	1.0	1.0	0.0	0.0	0.0	2.6593720912999999
1.0	19	1.0	1.0	0.0	0.0	0.69314718055994529	2.3505749701999998
2.8	20	1.0	71.0	0.0	1.0	0.80224724214563092	1.8764661549999999
2.6	20	1.0	11.0	1.0	1.0	0.94959366771673837	2.0371956830000002
2.0	20	1.0	1.0	1.0	1.0	-0	3.9146184920999998
2.0	20	1.0	1.0	1.0	1.0	-0	3.9146184920999998
3.0	20	1.0	2.0	1.0	0.0	0.0	1.9346948862
1.0	20	1.0	1.0	1.0	0.0	0.0	3.3074603081
2.6	20	1.0	1.0	0.0	1.0	1.0986122886681096	1.653730154
3.0	20	1.0	1.0	0.0	1.0	0.63651416829481278	1.461704731
2.8	20	1.0	1.0	1.0	0.0	1.6094379124341005	1.447013855
