cognos_map,ole_map,ole_lr_map,cognos_ndcg,ole_ndcg,ole_lr_ndcg
0.6537037037037037,0.8835317460317459,1.0,0.8668525951637733,0.969236927042317,0.9532687670388661
0.0,0.6805555555555555,0.40277777777777773,1.0,0.8765234367346214,0.6416180295806674
0.0,0.7142857142857144,0.8976190476190476,1.0,0.6967168259545794,0.8323607355504712
0.0,0.7544444444444445,0.6726190476190477,1.0,0.936803703564162,0.9150510657332019
0.0,0.7142857142857144,0.8976190476190476,1.0,0.6967168259545794,0.8323607355504712
0.8956845238095237,1.0,1.0,0.8663391080548486,0.9350223090311038,0.856812113724743
0.9467813051146384,0.8857142857142858,0.8401360544217688,0.9897119920294625,0.7797745551763898,0.7537512668960626
1.0,0.4444444444444444,0.8333333333333334,0.9355413632787121,0.7077594920534971,0.950213514120205
0.0,0.8644345238095237,0.8835317460317459,1.0,0.9570405924708992,0.9674644726194067
0.0,0.8041666666666667,0.6791666666666667,0.0,0.9215787820402511,0.8029975777438029
0.4862433862433862,0.6782312925170068,0.8083900226757369,0.7964480027430622,0.8050036323885154,0.93942731512932
1.0,0.8385912698412697,1.0,0.8011880620945112,0.7585526536930125,1.0
1.0,1.0,1.0,0.916266352064299,0.8279442722227521,0.8783099902424528
0.9626543209876544,0.4768253968253968,0.9428571428571428,0.9529119121015528,0.7293196357128713,0.865919725234938
0.9626543209876544,0.4768253968253968,0.9428571428571428,0.9529119121015528,0.7293196357128713,0.865919725234938
0.4761904761904762,0.6049603174603174,0.6378306878306879,0.7451725130610337,0.7939264528511334,0.8612213126951064
0.6083333333333333,0.8333333333333333,0.8333333333333333,0.7828313493948784,0.9340764506431117,0.9340764506431117
1.0,0.75,1.0,1.0,0.9238142170308339,1.0
0.0,0.20833333333333331,0.15555555555555556,1.0,0.5983326984153805,0.5641740870411309
0.5,0.6726190476190477,0.8121315192743763,0.7899740109042953,0.8216303686959422,0.9249419162325612
0.8956845238095237,1.0,1.0,0.8663391080548486,0.9350223090311038,0.856812113724743
0.0,0.8041666666666667,0.6791666666666667,0.0,0.9215787820402511,0.8029975777438029
0.0,1.0,1.0,0.0,1.0,1.0
0.6253968253968253,0.38749999999999996,0.6428571428571428,0.8444861948892894,0.6689215936237757,0.867006017611159
0.8666666666666667,0.5821428571428571,0.65,0.8670425862814221,0.8415256107398753,0.8708558756059794
0.0,1.0,1.0,0.0,1.0,1.0
1.0,0.5771825396825397,0.5049603174603174,0.845462330204035,0.7019337898055875,0.6861241635861295
0.5166666666666667,0.0,0.0,0.8804372489894849,1.0,1.0
0.8259259259259258,1.0,1.0,0.7454080708870175,1.0,1.0
0.40277777777777773,0.7295238095238095,0.6968253968253968,0.6536837256651005,0.8995968689628204,0.900774678631746
0.4862433862433862,0.6782312925170068,0.8083900226757369,0.7964480027430622,0.8050036323885154,0.93942731512932
1.0,1.0,1.0,0.916266352064299,0.8279442722227521,0.8783099902424528
1.0,0.8385912698412697,1.0,0.8011880620945112,0.7585526536930125,1.0
0.8782627865961198,0.8722222222222221,0.9484126984126983,0.967679081840876,0.8582342749276928,0.9254507936885625
0.9467813051146384,1.0,1.0,0.780467626161153,0.9171822847308433,1.0
0.0,1.0,0.7000000000000001,0.0,1.0,0.8804882527569503
0.0,0.9861111111111112,0.9415178571428571,0.0,0.9862175284252964,0.9680140243301385
1.0,0.7481150793650794,0.959375,1.0,0.7487014172675216,0.9683559786823447
0.5644444444444444,0.6763888888888889,0.9166666666666666,0.7638558968602006,0.8418413662692484,0.8344481340456538
0.7041666666666666,0.8806122448979592,0.9821428571428571,0.9254223438555447,0.968481885921672,0.9959346071762772
0.6926190476190476,0.9166666666666666,0.6791666666666667,0.7590527975505822,0.9314021260089195,0.8073945250887065
0.0,0.8644345238095237,0.8835317460317459,1.0,0.9570405924708992,0.9674644726194067
0.41666666666666663,1.0,0.8333333333333333,0.7119537700799369,1.0,0.9451761488283136
0.3673611111111111,0.5666666666666667,0.8928571428571428,0.6602508189584094,0.7805398500963777,0.9706697351338958
0.419047619047619,0.5079365079365079,0.7892857142857143,0.6314939691935018,0.6989069641773508,0.7633096004431043
0.8412257495590829,0.5304421768707482,0.9821428571428571,0.9212961150839011,0.6721524711910205,0.8773382702850163
0.5660714285714287,0.9055555555555554,0.8972222222222221,0.6911197538070559,0.9614496082859785,0.9645329585491241
0.6652777777777777,0.3611111111111111,0.5074074074074074,0.7238759300854036,0.6940972592938064,0.812742583281177
0.8329931972789115,0.5926190476190476,0.8261904761904761,0.800722531195808,0.7890076538053556,0.9467546550784437
0.5660714285714287,0.827437641723356,0.88015873015873,0.745236517503758,0.7738712691999071,0.9396787370607192
0.7132936507936508,0.9626543209876544,0.9888888888888889,0.9047301955253828,0.9887983782322207,0.9991709969596151
0.822767857142857,0.660515873015873,0.9166666666666666,0.9450840935574808,0.7430334962050755,0.769955003561471
0.9861111111111112,0.9888888888888889,0.8782627865961198,0.997681234552023,0.8660361344160233,0.7975090538285802
0.8819444444444445,0.75,1.0,0.9856799335406414,0.9355095261428396,1.0
0.6388888888888888,0.762037037037037,0.8833333333333333,0.7771602889304792,0.9269415614766454,0.9680824918612126
0.8666666666666667,0.3666666666666667,0.625,0.9215479577586326,0.8093434930038349,0.9191677261551536
0.6805555555555555,0.8388888888888888,0.9317956349206349,0.7460529550722557,0.8864678286889354,0.9785956445163476
0.0,0.6805555555555555,0.40277777777777773,1.0,0.8765234367346214,0.6416180295806674
0.9704861111111112,0.9150793650793649,0.8218253968253969,0.9931425965760887,0.9760352059464161,0.9453845669704047
0.740702947845805,1.0,1.0,0.8409718471175904,1.0,1.0
1.0,1.0,1.0,0.8847143538562241,0.9747814759490729,0.9413934850115167
0.6083333333333333,0.7759259259259258,0.7842592592592591,0.8430104431729741,0.8950051713719452,0.8090151199350627
0.75,0.0,0.0,0.9161485370042439,1.0,1.0
